Company Name,Scrip Code
century plyboards (india) ltd.,532548
cera sanitaryware ltd.,532443
cerebra integrated technologies ltd.,532413
ces ltd.,512341
cesc ltd.,500084
cff fluid control ltd.,543920
cfsl ltd.,511710
cg power and industrial solutions ltd.,500093
cg-vak software & exports ltd.,531489
chadha papers ltd.,531946
chalet hotels ltd.,542399
challani capital ltd.,530747
chaman lal setia exports ltd.,530307
chambal breweries & distilleries ltd.,512301
chambal fertilisers & chemicals ltd.,500085
chandni machines ltd.,542627
chandra bhagat pharma ltd.,542934
chandra prabhu international ltd.,530309
chandrima mercantiles ltd.,540829
channel nine entertainment ltd.,535142
charms industries ltd.,531327
chartered capital & investment ltd.,511696
chartered logistics ltd.,531977
chase bright steel ltd.,504671
chatha foods ltd.,544151
chd chemicals ltd.,539800
chd developers ltd.,526917
checkpoint trends ltd.,531099
chembond chemicals ltd.,544450
chembond material technologies ltd.,530871
chemcon speciality chemicals ltd.,543233
chemcrux enterprises ltd.,540395
chemfab alkalis ltd.,541269
chemiesynth (vapi) ltd.,539230
chemkart india ltd.,544442
chemo pharma laboratories ltd.,506365
chemplast sanmar ltd.,506355
chemtech industrial valves ltd.,537326
chennai ferrous industries ltd.,539011
chennai meenakshi multispeciality hospital ltd.,523489
chennai petroleum corporation ltd.,500110
cheviot company ltd.,526817
chl ltd.,532992
choice international ltd.,531358
choksi asia ltd.,530427
choksi laboratories ltd.,526546
cholamandalam financial holdings ltd.,504973
cholamandalam investment & finance company ltd.,511243
chordia food products ltd.,519475
chothani foods ltd.,540681
chowgule steamships ltd.,501833
chrome silicon ltd.,513005
cian agro industries & infrastructure ltd.,519477
cian healthcare ltd.,542678
cie automotive india ltd.,532756
cigniti technologies ltd.,534758
cil securities ltd.,530829
cindrella financial services ltd.,531283
cindrella hotels ltd.,526373
cineline india ltd.,532807
cinevista ltd.,532324
cipla ltd.,500087
cistro telelink ltd.,531775
citadel realty & developers ltd.,502445
citi port financial services ltd.,531235
citichem india ltd.,544324
citizen infoline ltd.,538786
citurgia biochemicals ltd.,506373
city crops agro ltd.,544000
city online services ltd.,538674
city pulse multiventures ltd.,542727
city union bank ltd.,532210
cityman ltd.,521210
cityon systems (india) ltd.,780013
cj gelatine products ltd.,507515
cl educate ltd.,540403
